img1,img2,label
dataset/train_original\PREIMG_1.png,dataset/train_generated\AI_1 - Priyanshu Chandra.png,1
dataset/train_original\PREIMG_28.png,dataset/train_generated\AI_28 - ऋतू राज राय.jpeg,1
dataset/train_original\PREIMG_5.png,dataset/train_generated\AI_7 - Shahdeo.png,0
dataset/train_original\PREIMG_29.png,dataset/train_generated\AI_21 - Palakh Agarwal.png,0
dataset/train_original\PREIMG_36.png,dataset/train_generated\AI_35 - Ayesha Perveen.png,0
dataset/train_original\PREIMG_21.png,dataset/train_generated\AI_29 - Baishanabee.jpg,0
dataset/train_original\PREIMG_21.png,dataset/train_generated\AI_21 - Palakh Agarwal.png,1
dataset/train_original\PREIMG_6.png,dataset/train_generated\AI_5 - Umesh Kumar Sahu.png,0
dataset/train_original\PREIMG_4.png,dataset/train_generated\AI_33 - Rojali Pradhan.png,0
dataset/train_original\PREIMG_3.png,dataset/train_generated\AI_3 - Ritesh.png,1
dataset/train_original\PREIMG_1.png,dataset/train_generated\AI_20 - Rishav.png,0
dataset/train_original\PREIMG_39.png,dataset/train_generated\AI_41 - Dinesh Nandi.png,0
dataset/train_original\PREIMG_4.png,dataset/train_generated\AI_3 - Ritesh.png,0
dataset/train_original\PREIMG_10.png,dataset/train_generated\AI_12 - Snehal Priyadarshi.png,0
dataset/train_original\PREIMG_20.png,dataset/train_generated\AI_36 - Kuldeep Nayak.png,0
dataset/train_original\PREIMG_8.png,dataset/train_generated\AI_7 - Shahdeo.png,0
dataset/train_original\PREIMG_3.png,dataset/train_generated\AI_34 - P Ravali.png,0
dataset/train_original\PREIMG_24.png,dataset/train_generated\AI_26 - Kshitij Prasad.png,0
dataset/train_original\PREIMG_40.png,dataset/train_generated\AI_5 - Umesh Kumar Sahu.png,0
dataset/train_original\PREIMG_18.png,dataset/train_generated\AI_25 - Sumedha Sengupta.jpeg,0
dataset/train_original\PREIMG_19.png,dataset/train_generated\AI_18 - Rahul Kumar Baral.png,0
dataset/train_original\PREIMG_16.png,dataset/train_generated\AI_35 - Ayesha Perveen.png,0
dataset/train_original\PREIMG_3.png,dataset/train_generated\AI_42 - Pruthwiraj Sahoo.png,0
dataset/train_original\PREIMG_18.png,dataset/train_generated\AI_35 - Ayesha Perveen.png,0
dataset/train_original\PREIMG_2.png,dataset/train_generated\AI_3 - Ritesh.png,0
dataset/train_original\PREIMG_11.png,dataset/train_generated\AI_13 - ᴅᴜʀɢᴀ ᴩʀᴀꜱᴀᴅ ɴᴀyᴀᴋ.png,0
dataset/train_original\PREIMG_2.png,dataset/train_generated\AI_4 - Satyajeet Nayak.png,0
dataset/train_original\PREIMG_6.png,dataset/train_generated\AI_33 - Rojali Pradhan.png,0
dataset/train_original\PREIMG_26.png,dataset/train_generated\AI_44 - Ritesh Sahoo.png,0
dataset/train_original\PREIMG_22.png,dataset/train_generated\AI_15 - Satyajit Sethy.png,0
dataset/train_original\PREIMG_30.png,dataset/train_generated\AI_14 - Subhadeep Chakraborty.png,0
dataset/train_original\PREIMG_4.png,dataset/train_generated\AI_39 - Om Aryan Lenka.png,0
dataset/train_original\PREIMG_45.png,dataset/train_generated\AI_43 - Arpita Podh.png,0
dataset/train_original\PREIMG_17.png,dataset/train_generated\AI_36 - Kuldeep Nayak.png,0
dataset/train_original\PREIMG_22.png,dataset/train_generated\AI_20 - Rishav.png,0
dataset/train_original\PREIMG_38.png,dataset/train_generated\AI_36 - Kuldeep Nayak.png,0
dataset/train_original\PREIMG_33.png,dataset/train_generated\AI_35 - Ayesha Perveen.png,0
dataset/train_original\PREIMG_39.png,dataset/train_generated\AI_40 - Sai Sourav Sahu.png,0
dataset/train_original\PREIMG_20.png,dataset/train_generated\AI_11 - Amitabh Mukherjee.jpg,0
dataset/train_original\PREIMG_12.png,dataset/train_generated\AI_13 - ᴅᴜʀɢᴀ ᴩʀᴀꜱᴀᴅ ɴᴀyᴀᴋ.png,0
dataset/train_original\PREIMG_25.png,dataset/train_generated\AI_11 - Amitabh Mukherjee.jpg,0
dataset/train_original\PREIMG_40.png,dataset/train_generated\AI_39 - Om Aryan Lenka.png,0
dataset/train_original\PREIMG_1.png,dataset/train_generated\AI_13 - ᴅᴜʀɢᴀ ᴩʀᴀꜱᴀᴅ ɴᴀyᴀᴋ.png,0
dataset/train_original\PREIMG_36.png,dataset/train_generated\AI_36 - Kuldeep Nayak.png,1
dataset/train_original\PREIMG_20.png,dataset/train_generated\AI_21 - Palakh Agarwal.png,0
dataset/train_original\PREIMG_41.png,dataset/train_generated\AI_41 - Dinesh Nandi.png,1
dataset/train_original\PREIMG_19.png,dataset/train_generated\AI_25 - Sumedha Sengupta.jpeg,0
dataset/train_original\PREIMG_33.png,dataset/train_generated\AI_33 - Rojali Pradhan.png,1
dataset/train_original\PREIMG_25.png,dataset/train_generated\AI_5 - Umesh Kumar Sahu.png,0
dataset/train_original\PREIMG_1.png,dataset/train_generated\AI_19 - Abinash Behera.png,0
dataset/train_original\PREIMG_4.png,dataset/train_generated\AI_45 - Sushant Shourya.png,0
dataset/train_original\PREIMG_39.png,dataset/train_generated\AI_39 - Om Aryan Lenka.png,1
dataset/train_original\PREIMG_15.png,dataset/train_generated\AI_16 - Taiki.png,0
dataset/train_original\PREIMG_12.png,dataset/train_generated\AI_12 - Snehal Priyadarshi.png,1
dataset/train_original\PREIMG_14.png,dataset/train_generated\AI_34 - P Ravali.png,0
dataset/train_original\PREIMG_25.png,dataset/train_generated\AI_27 - Riyana Das Majumder.png,0
dataset/train_original\PREIMG_28.png,dataset/train_generated\AI_26 - Kshitij Prasad.png,0
dataset/train_original\PREIMG_34.png,dataset/train_generated\AI_41 - Dinesh Nandi.png,0
dataset/train_original\PREIMG_31.png,dataset/train_generated\AI_29 - Baishanabee.jpg,0
dataset/train_original\PREIMG_7.png,dataset/train_generated\AI_6 - Aryan kumar Sahu.png,0
dataset/train_original\PREIMG_43.png,dataset/train_generated\AI_2 - Kaman Das.png,0
dataset/train_original\PREIMG_6.png,dataset/train_generated\AI_6 - Aryan kumar Sahu.png,1
dataset/train_original\PREIMG_15.png,dataset/train_generated\AI_14 - Subhadeep Chakraborty.png,0
dataset/train_original\PREIMG_1.png,dataset/train_generated\AI_2 - Kaman Das.png,0
dataset/train_original\PREIMG_26.png,dataset/train_generated\AI_26 - Kshitij Prasad.png,1
dataset/train_original\PREIMG_44.png,dataset/train_generated\AI_39 - Om Aryan Lenka.png,0
dataset/train_original\PREIMG_30.png,dataset/train_generated\AI_38 - Ujjwal Mohan.png,0
dataset/train_original\PREIMG_13.png,dataset/train_generated\AI_12 - Snehal Priyadarshi.png,0
dataset/train_original\PREIMG_46.png,dataset/train_generated\AI_3 - Ritesh.png,0
dataset/train_original\PREIMG_46.png,dataset/train_generated\AI_25 - Sumedha Sengupta.jpeg,0
dataset/train_original\PREIMG_14.png,dataset/train_generated\AI_13 - ᴅᴜʀɢᴀ ᴩʀᴀꜱᴀᴅ ɴᴀyᴀᴋ.png,0
